ALIGN_SPLIT,OPTIMIZE_SPLIT,OPTIMIZE_REPS,CUDA_THREADS,N_RESTART,CLIPPING,SIM_THRESH,BUFFER_SIZE,WORKER_PARS,WORKER_BUCK,WORKER_DS,TIME,THROUG,AVG_RMSD
8,8,5,32,256,256,2,5242880,20,4,6,136.729,3288.26,2.15
8,8,5,32,256,256,3,1048576,20,4,6,141.128,3185.76,2.15
8,8,5,32,256,256,3,5242880,20,4,6,138.990,3234.77,2.15
8,8,5,32,256,256,4,1048576,20,4,6,139.442,3224.28,2.15
8,8,5,32,256,256,4,5242880,20,4,6,133.942,3356.68,2.15
8,8,5,32,1024,10,1,1048576,20,4,6,467.158,962.41,3.02
8,8,5,32,1024,10,1,5242880,20,4,6,460.146,977.08,3.02
8,8,5,32,1024,10,2,1048576,20,4,6,460.791,975.71,2.83
8,8,5,32,1024,10,2,5242880,20,4,6,464.040,968.88,2.83
8,8,5,32,1024,10,3,1048576,20,4,6,465.253,966.35,2.86
8,8,5,32,1024,10,3,5242880,20,4,6,455.203,987.69,2.86
8,8,5,32,1024,10,4,1048576,20,4,6,461.517,974.18,2.98
8,8,5,32,1024,10,4,5242880,20,4,6,459.892,977.62,2.98
8,8,5,32,1024,50,1,1048576,20,4,6,464.148,968.65,2.39
8,8,5,32,1024,50,1,5242880,20,4,6,461.380,974.47,2.39
8,8,5,32,1024,50,2,1048576,20,4,6,459.155,979.19,2.44
8,8,5,32,1024,50,2,5242880,20,4,6,467.014,962.71,2.44
8,8,5,32,1024,50,3,1048576,20,4,6,462.926,971.21,2.50
8,8,5,32,1024,50,3,5242880,20,4,6,462.376,972.37,2.50
8,8,5,32,1024,50,4,1048576,20,4,6,459.459,978.54,2.56
8,8,5,32,1024,50,4,5242880,20,4,6,459.737,977.95,2.56
8,8,5,32,1024,256,1,1048576,20,4,6,478.600,939.40,2.16
8,8,5,32,1024,256,1,5242880,20,4,6,479.661,937.33,2.16
8,8,5,32,1024,256,2,1048576,20,4,6,472.915,950.70,2.20
8,8,5,32,1024,256,2,5242880,20,4,6,478.454,939.69,2.20
8,8,5,32,1024,256,3,1048576,20,4,6,480.626,935.44,2.23
